clicks,prints,cost,cpc,direct_amount,indirect_amount,total_amount,direct_units_quantity,indirect_units_quantity,units_quantity,direct_items_quantity,indirect_items_quantity,advertising_items_quantity,organic_units_quantity,organic_items_quantity,acos,organic_units_amount,sov,ctr,cvr,roas,date
50,7544,87.27,1.75,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0.0,297.0,0.0,0.66,0.0,0.0,2025-07-19
73,7252,109.32,1.5,2285.0,594.0,2879.0,5,2,7,3,2,5,0,0,3.8,0.0,100.0,1.01,9.59,26.34,2025-07-20
123,13093,242.0,1.97,2487.0,594.0,3081.0,5,2,7,4,1,5,0,0,7.85,0.0,100.0,0.94,5.69,12.73,2025-07-21
57,7334,127.0,2.23,1691.0,297.0,1988.0,3,1,4,3,1,4,2,2,6.39,994.0,66.67,0.78,7.02,15.65,2025-07-22
75,38785,127.0,1.69,994.0,297.0,1291.0,2,1,3,2,1,3,0,0,9.84,0.0,100.0,0.19,4.0,10.17,2025-07-23
111,59237,127.0,1.14,476.0,0.0,476.0,2,0,2,2,0,2,2,2,26.68,1444.0,50.0,0.19,1.8,3.75,2025-07-24
52,41618,127.0,2.44,1340.9,0.0,1340.9,3,0,3,2,0,2,1,1,9.47,697.0,66.67,0.12,5.77,10.56,2025-07-25
55,30608,127.0,2.31,1173.0,0.0,1173.0,3,0,3,3,0,3,1,1,10.83,697.0,75.0,0.18,5.45,9.24,2025-07-26
64,29782,127.0,1.98,1291.0,432.8,1723.8,3,3,6,3,3,6,0,0,7.37,0.0,100.0,0.21,9.38,13.57,2025-07-27
78,35751,222.0,2.85,1443.9,0.0,1443.9,2,0,2,2,0,2,6,4,15.38,2372.0,33.33,0.22,2.56,6.5,2025-07-28
96,66734,222.0,2.31,594.0,0.0,594.0,2,0,2,2,0,2,4,4,37.37,1638.0,33.33,0.14,2.08,2.68,2025-07-29
114,100414,222.0,1.95,2587.0,0.0,2587.0,5,0,5,5,0,5,3,3,8.58,1573.0,62.5,0.11,4.39,11.65,2025-07-30
